,Unnamed: 0,date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink,type,views,media,artist
75,254,2020-01-05 18:57:13,_Taaooma,,309,353,6416,This my forehead NAWA !pic.twitter.com/u5tBLqjXLM,,,,1.21389725368704E+018,https://twitter.com/_Taaooma/status/1213897253687037954,picture,0,pic.twitter.com/u,Taaooma
76,255,2020-01-05 14:50:47,_Taaooma,DA_NII_EL_07,3,0,55,pic.twitter.com/KFm2gG3cqP,,,,1.21383523786154E+018,https://twitter.com/_Taaooma/status/1213835237861535745,picture,0,pic.twitter.com/K,Taaooma
77,256,2020-01-05 11:24:42,_Taaooma,pec_ceo,1,0,7,Which one is extra opic.twitter.com/MT41PFWMhT,,,,1.21378337436571E+018,https://twitter.com/_Taaooma/status/1213783374365708288,picture,0,pic.twitter.com/M,Taaooma
78,257,2020-01-05 11:22:18,_Taaooma,czathabeast,1,0,6,Application haf closepic.twitter.com/0LUTaXnKiO,,,,1.21378277114921E+018,https://twitter.com/_Taaooma/status/1213782771149213696,picture,0,pic.twitter.com/0,Taaooma
79,258,2020-01-05 11:21:00,_Taaooma,samies25_,1,1,9,In my head ?pic.twitter.com/TCRwiObJcC,,,,1.21378244570065E+018,https://twitter.com/_Taaooma/status/1213782445700648960,picture,0,pic.twitter.com/T,Taaooma
80,269,2020-01-04 21:30:29,_Taaooma,Tejuadultface,1,0,17,Olofofopic.twitter.com/Atcyc2V8xw,,,,1.21357344027335E+018,https://twitter.com/_Taaooma/status/1213573440273354752,picture,0,pic.twitter.com/A,Taaooma
81,273,2020-01-04 15:31:47,_Taaooma,,684,4342,13842,If I am in the abroad will you be telling me this?pic.twitter.com/XTI56r9Uiq,,,,1.21348316686813E+018,https://twitter.com/_Taaooma/status/1213483166868131840,video,127400,pic.twitter.com/X,Taaooma
82,277,2020-01-03 07:26:12,_Taaooma,,70,205,1327,Yooooo!!!! we have to make bathing time table now ooo Bath today... till next week before another bath opic.twitter.com/kLLJB6Ch78,,,,1.21299858165902E+018,https://twitter.com/_Taaooma/status/1212998581659017218,picture,0,pic.twitter.com/k,Taaooma
83,280,2020-01-02 10:06:35,_Taaooma,HorlaSheun,1,0,13,You got itpic.twitter.com/UTTH7olvgQ,,,,1.2126765552998E+018,https://twitter.com/_Taaooma/status/1212676555299794944,picture,0,pic.twitter.com/U,Taaooma
84,285,2020-01-01 22:20:05,_Taaooma,,54,106,1376,Rondoclar?pic.twitter.com/6glGjoLpU7,,,,1.21249875720559E+018,https://twitter.com/_Taaooma/status/1212498757205594112,picture,0,pic.twitter.com/6,Taaooma
85,289,2020-01-01 19:56:42,_Taaooma,,843,5805,17051,Happy new year pic.twitter.com/0osLMsEs6I,,,,1.21246267436746E+018,https://twitter.com/_Taaooma/status/1212462674367459328,video,140300,pic.twitter.com/0,Taaooma
86,294,2020-01-01 10:34:17,_Taaooma,okayyrudeme,2,0,16,You are rudepic.twitter.com/cbEk52mf8Z,,,,1.21232113589282E+018,https://twitter.com/_Taaooma/status/1212321135892815872,picture,0,pic.twitter.com/c,Taaooma
